Size, Seq, Par, Libc
100, 0.000009, 0.019448, 0.000014
100, 0.000010, 0.024909, 0.000010
100, 0.000011, 0.019456, 0.000012
100, 0.000011, 0.028543, 0.000011
100, 0.000012, 0.073406, 0.000012
400, 0.000042, 0.054365, 0.000053
400, 0.000042, 0.056069, 0.000050
400, 0.000043, 0.041807, 0.000064
400, 0.000043, 0.058121, 0.000050
400, 0.000044, 0.048618, 0.000053
700, 0.000076, 0.106093, 0.000089
700, 0.000077, 0.084913, 0.000089
700, 0.000077, 0.085963, 0.000089
700, 0.000080, 0.109403, 0.000092
700, 0.000084, 0.109216, 0.000087
1000, 0.000113, 0.080906, 0.000120
1000, 0.000120, 0.061116, 0.000122
1000, 0.000121, 0.066684, 0.000127
1000, 0.000121, 0.091412, 0.000127
1000, 0.000125, 0.058867, 0.000160
1300, 0.000154, 0.085875, 0.000165
1300, 0.000158, 0.160764, 0.000200
1300, 0.000163, 0.078076, 0.000196
1300, 0.000171, 0.074585, 0.000181
1300, 0.000384, 0.083752, 0.000192
1600, 0.000193, 0.068910, 0.000193
1600, 0.000193, 0.074113, 0.000200
1600, 0.000194, 0.063199, 0.000194
1600, 0.000194, 0.081601, 0.000201
1600, 0.000195, 0.097037, 0.000203
1900, 0.000243, 0.090541, 0.000242
1900, 0.000244, 0.098185, 0.000241
1900, 0.000248, 0.114318, 0.000239
1900, 0.000252, 0.117555, 0.000243
1900, 0.000264, 0.119323, 0.000239
2200, 0.000275, 0.091520, 0.000279
2200, 0.000275, 0.164086, 0.000321
2200, 0.000285, 0.105685, 0.000341
2200, 0.000347, 0.089316, 0.000287
2200, 0.000354, 0.112324, 0.000317
2500, 0.000316, 0.130298, 0.000319
2500, 0.000316, 0.149684, 0.000312
2500, 0.000320, 0.222759, 0.000310
2500, 0.000329, 0.134051, 0.000317
2500, 0.000417, 0.091169, 0.000318
